Task B3: Countries with Temperatures from -10.0 to 10.0
Temperature,Year,Month,Country,Country_Code
-8.50(C) 16.69(F),2013,Feb,Kazakhstan,KAZ
-8.49(C) 16.71(F),2006,Mar,Sweden,SWE
-8.49(C) 16.71(F),2004,Dec,Kyrgyzstan,KGZ
-8.47(C) 16.75(F),2013,Jan,China,CHN
-8.46(C) 16.76(F),2002,Dec,Georgia,GEO
-8.45(C) 16.80(F),2005,Jan,Tajikistan,TJK
-8.41(C) 16.87(F),2016,Jan,China,CHN
-8.37(C) 16.94(F),2012,Jan,Sweden,SWE
-8.36(C) 16.96(F),2006,Mar,Norway,NOR
-8.35(C) 16.97(F),2012,Feb,Liechtenstein,LIE
-8.35(C) 16.97(F),2013,Jan,Norway,NOR
-8.33(C) 17.01(F),2006,Feb,Estonia,EST
-8.33(C) 17.01(F),2012,Apr,Canada,CAN
-8.31(C) 17.05(F),2006,Jan,Uzbekistan,UZB
-8.30(C) 17.06(F),2004,Dec,Korea. Democratic People's Republic of,PRK
-8.30(C) 17.06(F),2006,Jan,Georgia,GEO
-8.27(C) 17.11(F),2015,Dec,Kyrgyzstan,KGZ
-8.25(C) 17.15(F),2008,Feb,Korea. Democratic People's Republic of,PRK
-8.25(C) 17.16(F),2006,Dec,Tajikistan,TJK
-8.20(C) 17.23(F),2001,Nov,Mongolia,MNG
-8.20(C) 17.23(F),2006,Feb,Korea. Democratic People's Republic of,PRK
-8.19(C) 17.26(F),2012,Dec,Tajikistan,TJK
-8.18(C) 17.28(F),2001,Jan,China,CHN
-8.16(C) 17.31(F),2002,Dec,Estonia,EST
-8.16(C) 17.31(F),2006,Jan,Armenia,ARM
-8.15(C) 17.33(F),2002,Jan,Sweden,SWE
-8.15(C) 17.34(F),2007,Jan,Tajikistan,TJK
-8.14(C) 17.35(F),2004,Mar,Mongolia,MNG
-8.14(C) 17.35(F),2005,Mar,Mongolia,MNG
-8.14(C) 17.35(F),2000,Dec,Kyrgyzstan,KGZ
-8.14(C) 17.35(F),2002,Dec,Latvia,LVA
-8.13(C) 17.37(F),2006,Jan,Ukraine,UKR
-8.12(C) 17.38(F),2005,Dec,Finland,FIN
-8.09(C) 17.43(F),2000,Jan,Finland,FIN
-8.09(C) 17.45(F),2010,Dec,Estonia,EST
-8.08(C) 17.46(F),2001,Mar,Mongolia,MNG
-8.08(C) 17.46(F),2003,Jan,Estonia,EST
