Task A4: Lowest Temperature of Estonia
Temperature,Year,Month,Country,Country_Code
-11.88(C) 10.62(F),2010,Jan,Estonia,EST

Task A4: Highest Temperature of Estonia
Temperature,Year,Month,Country,Country_Code
21.17(C) 70.11(F),2010,Jul,Estonia,EST

